video_id,file_name,source_path,relative_path,file_exists,file_size_bytes,duration_seconds_matrix,duration_seconds_ffprobe,resolution_matrix,resolution_ffprobe,aspect_ratio_matrix,fps,video_codec,audio_present,audio_codec,ffprobe_status,ffprobe_error,ffmpeg_decode_status,ffmpeg_decode_error,frame_timecodes,contact_sheet_created,contact_sheet_status,contact_sheet_path_local_ignored,metadata_validation_note
fv_0001,30+产后妈妈居家必练动作.mp4,/Volumes/WD_BLACK/澜心社剪辑/剪辑解析数据/AI需要的成片/30+产后妈妈居家必练动作.mp4,30+产后妈妈居家必练动作.mp4,true,15351117,10.611,10.611,1080x1920,1080x1920,9:16,60,hevc,true,aac,success,,success,,00:00:00.000；00:00:00.849；00:00:01.910；00:00:03.396；00:00:05.093；00:00:06.791；00:00:08.489；00:00:10.261,yes,reused,/Volumes/WD_BLACK/澜心社剪辑/lanxinse--/api_outputs/finished_video_ali_recheck_100/contact_sheets/fv_0001.jpg,technical_validation_only_not_content_validation
fv_0002,35岁以后都去练不管生完多久了每天100个 小肚子平了 臀翘了最重要的是可以锻炼盆底肌.mp4,/Volumes/WD_BLACK/澜心社剪辑/剪辑解析数据/AI需要的成片/35岁以后都去练不管生完多久了每天100个 小肚子平了 臀翘了最重要的是可以锻炼盆底肌.mp4,35岁以后都去练不管生完多久了每天100个 小肚子平了 臀翘了最重要的是可以锻炼盆底肌.mp4,true,17197481,11.749,11.749,1080x1920,1080x1920,9:16,60,hevc,true,aac,success,,success,,00:00:00.000；00:00:00.940；00:00:02.115；00:00:03.760；00:00:05.640；00:00:07.519；00:00:09.399；00:00:11.399,yes,created,/Volumes/WD_BLACK/澜心社剪辑/lanxinse--/api_outputs/finished_video_ali_recheck_100/contact_sheets/fv_0002.jpg,technical_validation_only_not_content_validation
fv_0003,4月17日(1).mp4,/Volumes/WD_BLACK/澜心社剪辑/剪辑解析数据/AI需要的成片/4月17日(1).mp4,4月17日(1).mp4,true,26859242,27.353,27.353,720x1280,720x1280,9:16,60,hevc,true,aac,success,,success,,00:00:00.000；00:00:01.000；00:00:04.924；00:00:08.753；00:00:13.129；00:00:17.506；00:00:21.882；00:00:27.003,yes,created,/Volumes/WD_BLACK/澜心社剪辑/lanxinse--/api_outputs/finished_video_ali_recheck_100/contact_sheets/fv_0003.jpg,technical_validation_only_not_content_validation
fv_0004,5月26日 (2).mp4,/Volumes/WD_BLACK/澜心社剪辑/剪辑解析数据/AI需要的成片/5月26日 (2)/5月26日 (2).mp4,5月26日 (2)/5月26日 (2).mp4,true,11537969,12.213,12.213,1080x1920,1080x1920,9:16,30,hevc,true,aac,success,,success,,00:00:00.000；00:00:00.977；00:00:02.198；00:00:03.908；00:00:05.862；00:00:07.816；00:00:09.770；00:00:11.863,yes,created,/Volumes/WD_BLACK/澜心社剪辑/lanxinse--/api_outputs/finished_video_ali_recheck_100/contact_sheets/fv_0004.jpg,technical_validation_only_not_content_validation
fv_0005,5月26日(1).mp4,/Volumes/WD_BLACK/澜心社剪辑/剪辑解析数据/AI需要的成片/5月26日(1)/5月26日(1).mp4,5月26日(1)/5月26日(1).mp4,true,20497468,14.141,14.141,1080x1920,1080x1920,9:16,60,hevc,true,aac,success,,success,,00:00:00.000；00:00:01.000；00:00:02.545；00:00:04.525；00:00:06.788；00:00:09.050；00:00:11.313；00:00:13.791,yes,created,/Volumes/WD_BLACK/澜心社剪辑/lanxinse--/api_outputs/finished_video_ali_recheck_100/contact_sheets/fv_0005.jpg,technical_validation_only_not_content_validation
fv_0006,5月26日.mp4,/Volumes/WD_BLACK/澜心社剪辑/剪辑解析数据/AI需要的成片/5月26日/5月26日.mp4,5月26日/5月26日.mp4,true,20473554,14.141,14.141,1080x1920,1080x1920,9:16,60,hevc,true,aac,success,,success,,00:00:00.000；00:00:01.000；00:00:02.545；00:00:04.525；00:00:06.788；00:00:09.050；00:00:11.313；00:00:13.791,yes,created,/Volumes/WD_BLACK/澜心社剪辑/lanxinse--/api_outputs/finished_video_ali_recheck_100/contact_sheets/fv_0006.jpg,technical_validation_only_not_content_validation
fv_0007,5月27日 (1).mp4,/Volumes/WD_BLACK/澜心社剪辑/剪辑解析数据/AI需要的成片/5月27日 (1)/5月27日 (1).mp4,5月27日 (1)/5月27日 (1).mp4,true,21223069,22.384,22.384,1080x1920,1080x1920,9:16,30,hevc,true,aac,success,,success,,00:00:00.000；00:00:01.000；00:00:04.029；00:00:07.163；00:00:10.744；00:00:14.326；00:00:17.907；00:00:22.034,yes,created,/Volumes/WD_BLACK/澜心社剪辑/lanxinse--/api_outputs/finished_video_ali_recheck_100/contact_sheets/fv_0007.jpg,technical_validation_only_not_content_validation
fv_0008,5月27日.mp4,/Volumes/WD_BLACK/澜心社剪辑/剪辑解析数据/AI需要的成片/5月27日/5月27日.mp4,5月27日/5月27日.mp4,true,15877969,16.509,16.509,1080x1920,1080x1920,9:16,30,hevc,true,aac,success,,success,,00:00:00.000；00:00:01.000；00:00:02.972；00:00:05.283；00:00:07.924；00:00:10.566；00:00:13.207；00:00:16.159,yes,created,/Volumes/WD_BLACK/澜心社剪辑/lanxinse--/api_outputs/finished_video_ali_recheck_100/contact_sheets/fv_0008.jpg,technical_validation_only_not_content_validation
fv_0009,70%女性中招的盆底肌误区.mp4,/Volumes/WD_BLACK/澜心社剪辑/剪辑解析数据/AI需要的成片/70%女性中招的盆底肌误区.mp4,70%女性中招的盆底肌误区.mp4,true,90824052,65.782,65.782,1080x1920,1080x1920,9:16,60,hevc,true,aac,success,,success,,00:00:00.000；00:00:01.000；00:00:11.841；00:00:21.050；00:00:31.575；00:00:42.100；00:00:52.626；00:01:05.432,yes,created,/Volumes/WD_BLACK/澜心社剪辑/lanxinse--/api_outputs/finished_video_ali_recheck_100/contact_sheets/fv_0009.jpg,technical_validation_only_not_content_validation
fv_0010,Z宫下垂盆底无力就练臀桥呼吸.mp4,/Volumes/WD_BLACK/澜心社剪辑/剪辑解析数据/AI需要的成片/Z宫下垂盆底无力就练臀桥呼吸.mp4,Z宫下垂盆底无力就练臀桥呼吸.mp4,true,110465156,79.575,79.575,1080x1920,1080x1920,9:16,60,hevc,true,aac,success,,success,,00:00:00.000；00:00:01.000；00:00:14.323；00:00:25.464；00:00:38.196；00:00:50.928；00:01:03.660；00:01:19.225,yes,created,/Volumes/WD_BLACK/澜心社剪辑/lanxinse--/api_outputs/finished_video_ali_recheck_100/contact_sheets/fv_0010.jpg,technical_validation_only_not_content_validation
