video_id,file_name,source_path,relative_path,file_size_bytes,duration_seconds,resolution,aspect_ratio,fps,video_codec,audio_present,audio_codec,metadata_readable,analysis_status,probe_error
fv_0001,30+产后妈妈居家必练动作.mp4,/Volumes/WD_BLACK/澜心社剪辑/剪辑解析数据/AI需要的成片/30+产后妈妈居家必练动作.mp4,30+产后妈妈居家必练动作.mp4,15351117,10.611,1080x1920,9:16,60.000,hevc,true,aac,true,success,
fv_0002,35岁以后都去练不管生完多久了每天100个 小肚子平了 臀翘了最重要的是可以锻炼盆底肌.mp4,/Volumes/WD_BLACK/澜心社剪辑/剪辑解析数据/AI需要的成片/35岁以后都去练不管生完多久了每天100个 小肚子平了 臀翘了最重要的是可以锻炼盆底肌.mp4,35岁以后都去练不管生完多久了每天100个 小肚子平了 臀翘了最重要的是可以锻炼盆底肌.mp4,17197481,11.749,1080x1920,9:16,60.000,hevc,true,aac,true,success,
fv_0003,4月17日(1).mp4,/Volumes/WD_BLACK/澜心社剪辑/剪辑解析数据/AI需要的成片/4月17日(1).mp4,4月17日(1).mp4,26859242,27.353,720x1280,9:16,60.000,hevc,true,aac,true,success,
fv_0004,5月26日 (2).mp4,/Volumes/WD_BLACK/澜心社剪辑/剪辑解析数据/AI需要的成片/5月26日 (2)/5月26日 (2).mp4,5月26日 (2)/5月26日 (2).mp4,11537969,12.213,1080x1920,9:16,30.000,hevc,true,aac,true,success,
fv_0005,5月26日(1).mp4,/Volumes/WD_BLACK/澜心社剪辑/剪辑解析数据/AI需要的成片/5月26日(1)/5月26日(1).mp4,5月26日(1)/5月26日(1).mp4,20497468,14.141,1080x1920,9:16,60.000,hevc,true,aac,true,success,
fv_0006,5月26日.mp4,/Volumes/WD_BLACK/澜心社剪辑/剪辑解析数据/AI需要的成片/5月26日/5月26日.mp4,5月26日/5月26日.mp4,20473554,14.141,1080x1920,9:16,60.000,hevc,true,aac,true,success,
fv_0007,5月27日 (1).mp4,/Volumes/WD_BLACK/澜心社剪辑/剪辑解析数据/AI需要的成片/5月27日 (1)/5月27日 (1).mp4,5月27日 (1)/5月27日 (1).mp4,21223069,22.384,1080x1920,9:16,30.000,hevc,true,aac,true,success,
fv_0008,5月27日.mp4,/Volumes/WD_BLACK/澜心社剪辑/剪辑解析数据/AI需要的成片/5月27日/5月27日.mp4,5月27日/5月27日.mp4,15877969,16.509,1080x1920,9:16,30.000,hevc,true,aac,true,success,
fv_0009,70%女性中招的盆底肌误区.mp4,/Volumes/WD_BLACK/澜心社剪辑/剪辑解析数据/AI需要的成片/70%女性中招的盆底肌误区.mp4,70%女性中招的盆底肌误区.mp4,90824052,65.782,1080x1920,9:16,60.000,hevc,true,aac,true,success,
fv_0010,Z宫下垂盆底无力就练臀桥呼吸.mp4,/Volumes/WD_BLACK/澜心社剪辑/剪辑解析数据/AI需要的成片/Z宫下垂盆底无力就练臀桥呼吸.mp4,Z宫下垂盆底无力就练臀桥呼吸.mp4,110465156,79.575,1080x1920,9:16,60.000,hevc,true,aac,true,success,
fv_0011,产后漏尿能自己好吗.mp4,/Volumes/WD_BLACK/澜心社剪辑/剪辑解析数据/AI需要的成片/产后漏尿能自己好吗.mp4,产后漏尿能自己好吗.mp4,163026896,117.725,1080x1920,9:16,60.000,hevc,true,aac,true,success,
fv_0012,你的小肚子凸可能不是胖.mp4,/Volumes/WD_BLACK/澜心社剪辑/剪辑解析数据/AI需要的成片/你的小肚子凸可能不是胖.mp4,你的小肚子凸可能不是胖.mp4,51762109,55.519,1080x1920,9:16,30.000,hevc,true,aac,true,success,
fv_0013,先减肥还是先改善漏尿.mp4,/Volumes/WD_BLACK/澜心社剪辑/剪辑解析数据/AI需要的成片/先减肥还是先改善漏尿.mp4,先减肥还是先改善漏尿.mp4,84653846,60.534,1080x1920,9:16,60.000,hevc,true,aac,true,success,
fv_0014,别再疯狂练收紧可能越练越漏尿.mp4,/Volumes/WD_BLACK/澜心社剪辑/剪辑解析数据/AI需要的成片/别再疯狂练收紧可能越练越漏尿.mp4,别再疯狂练收紧可能越练越漏尿.mp4,61259925,43.769,1080x1920,9:16,60.000,hevc,true,aac,true,success,
fv_0015,单纯练凯格尔能改善漏尿吗.mp4,/Volumes/WD_BLACK/澜心社剪辑/剪辑解析数据/AI需要的成片/单纯练凯格尔能改善漏尿吗.mp4,单纯练凯格尔能改善漏尿吗.mp4,253745400,184.134,1080x1920,9:16,60.000,hevc,true,aac,true,success,
fv_0016,妈妈臀 臀凹陷一个动作饱满臀部.mp4,/Volumes/WD_BLACK/澜心社剪辑/剪辑解析数据/AI需要的成片/妈妈臀 臀凹陷一个动作饱满臀部.mp4,妈妈臀 臀凹陷一个动作饱满臀部.mp4,19608357,13.305,1080x1920,9:16,60.000,hevc,true,aac,true,success,
fv_0017,30岁的女性练八爪鱼要多久6.2（4）.mp4,/Volumes/WD_BLACK/澜心社剪辑/剪辑解析数据/AI需要的成片/已发/30岁的女性练八爪鱼要多久6.2（4）.mp4,已发/30岁的女性练八爪鱼要多久6.2（4）.mp4,22927387,17.554,1080x1920,9:16,30.000,h264,true,aac,true,success,
