window_id,recording_id,source_file,window_start,window_end,duration_seconds,overlap_previous_seconds,coverage_status,contact_sheet_created,ali_model_called,analysis_status,contact_sheet_status,frame_timecodes
rec_001_w001,rec_001,/Volumes/WD_BLACK/澜心社剪辑/剪辑解析数据/剪辑测试直播素材/2025.3月28日-1号（被判医疗）.MP4,00:00:00.000,00:03:00.000,180.0,0.0,covered,yes,yes,success,reused,00:00:00.000；00:00:01.000；00:00:22.500；00:00:45.000；00:01:07.500；00:01:30.000；00:01:52.500；00:02:15.000；00:02:37.500；00:02:59.500
rec_001_w002,rec_001,/Volumes/WD_BLACK/澜心社剪辑/剪辑解析数据/剪辑测试直播素材/2025.3月28日-1号（被判医疗）.MP4,00:02:50.000,00:05:50.000,180.0,10.0,covered,yes,yes,success,reused,00:02:50.000；00:02:51.000；00:03:12.500；00:03:35.000；00:03:57.500；00:04:20.000；00:04:42.500；00:05:05.000；00:05:27.500；00:05:49.500
rec_001_w003,rec_001,/Volumes/WD_BLACK/澜心社剪辑/剪辑解析数据/剪辑测试直播素材/2025.3月28日-1号（被判医疗）.MP4,00:05:40.000,00:08:40.000,180.0,10.0,covered,yes,yes,success,reused,00:05:40.000；00:05:41.000；00:06:02.500；00:06:25.000；00:06:47.500；00:07:10.000；00:07:32.500；00:07:55.000；00:08:17.500；00:08:39.500
rec_001_w004,rec_001,/Volumes/WD_BLACK/澜心社剪辑/剪辑解析数据/剪辑测试直播素材/2025.3月28日-1号（被判医疗）.MP4,00:08:30.000,00:11:30.000,180.0,10.0,covered,yes,yes,success,reused,00:08:30.000；00:08:31.000；00:08:52.500；00:09:15.000；00:09:37.500；00:10:00.000；00:10:22.500；00:10:45.000；00:11:07.500；00:11:29.500
rec_001_w005,rec_001,/Volumes/WD_BLACK/澜心社剪辑/剪辑解析数据/剪辑测试直播素材/2025.3月28日-1号（被判医疗）.MP4,00:11:20.000,00:14:20.000,180.0,10.0,covered,yes,yes,success,reused,00:11:20.000；00:11:21.000；00:11:42.500；00:12:05.000；00:12:27.500；00:12:50.000；00:13:12.500；00:13:35.000；00:13:57.500；00:14:19.500
rec_001_w006,rec_001,/Volumes/WD_BLACK/澜心社剪辑/剪辑解析数据/剪辑测试直播素材/2025.3月28日-1号（被判医疗）.MP4,00:14:10.000,00:17:10.000,180.0,10.0,covered,yes,yes,success,reused,00:14:10.000；00:14:11.000；00:14:32.500；00:14:55.000；00:15:17.500；00:15:40.000；00:16:02.500；00:16:25.000；00:16:47.500；00:17:09.500
rec_001_w007,rec_001,/Volumes/WD_BLACK/澜心社剪辑/剪辑解析数据/剪辑测试直播素材/2025.3月28日-1号（被判医疗）.MP4,00:17:00.000,00:20:00.000,180.0,10.0,covered,yes,yes,success,reused,00:17:00.000；00:17:01.000；00:17:22.500；00:17:45.000；00:18:07.500；00:18:30.000；00:18:52.500；00:19:15.000；00:19:37.500；00:19:59.500
rec_001_w008,rec_001,/Volumes/WD_BLACK/澜心社剪辑/剪辑解析数据/剪辑测试直播素材/2025.3月28日-1号（被判医疗）.MP4,00:19:50.000,00:22:50.000,180.0,10.0,covered,yes,yes,success,reused,00:19:50.000；00:19:51.000；00:20:12.500；00:20:35.000；00:20:57.500；00:21:20.000；00:21:42.500；00:22:05.000；00:22:27.500；00:22:49.500
rec_001_w009,rec_001,/Volumes/WD_BLACK/澜心社剪辑/剪辑解析数据/剪辑测试直播素材/2025.3月28日-1号（被判医疗）.MP4,00:22:40.000,00:25:40.000,180.0,10.0,covered,yes,yes,success,reused,00:22:40.000；00:22:41.000；00:23:02.500；00:23:25.000；00:23:47.500；00:24:10.000；00:24:32.500；00:24:55.000；00:25:17.500；00:25:39.500
rec_001_w010,rec_001,/Volumes/WD_BLACK/澜心社剪辑/剪辑解析数据/剪辑测试直播素材/2025.3月28日-1号（被判医疗）.MP4,00:25:30.000,00:28:30.000,180.0,10.0,covered,yes,yes,success,reused,00:25:30.000；00:25:31.000；00:25:52.500；00:26:15.000；00:26:37.500；00:27:00.000；00:27:22.500；00:27:45.000；00:28:07.500；00:28:29.500
