probe_id,candidate_id,check_item,value,status,note
summary,,blocked_candidate_count,102,pass,/Volumes/WD_BLACK/澜心社剪辑/lanxinse--/项目事实_project_facts/直播素材筛选_live_material_screening/18_缺视觉证据阻断清单_blocked_need_visual_review.csv
summary,,review_14_rows,102,pass,/Volumes/WD_BLACK/澜心社剪辑/lanxinse--/项目事实_project_facts/直播素材筛选_live_material_screening/14_A类口播动作逻辑复审总表_A_class_pair_logic_review_master.csv
summary,,master_rows,211,pass,/Volumes/WD_BLACK/澜心社剪辑/lanxinse--/项目事实_project_facts/直播素材筛选_live_material_screening/01_直播候选片段总表_live_candidate_segment_master.csv
summary,,pair_rows,211,pass,/Volumes/WD_BLACK/澜心社剪辑/lanxinse--/项目事实_project_facts/直播素材筛选_live_material_screening/02_口播动作配对表_speech_action_pairing_table.csv
summary,,manifest_rows,102,pass,/Volumes/WD_BLACK/澜心社剪辑/lanxinse--/项目事实_project_facts/直播素材筛选_live_material_screening/10_A类素材导出索引_A_class_export_manifest.csv
summary,,ffmpeg,/opt/homebrew/bin/ffmpeg,pass,
summary,,ffprobe,/opt/homebrew/bin/ffprobe,pass,
summary,,raw_video_root,True,pass,/Volumes/WD_BLACK/完整直播录屏/今年直播素材
summary,,local_A_package,True,pass,read_only
summary,,visual_model,available_key_present_probe_first_sheet,pass,only contact sheets are uploaded if called; first failure switches remaining samples to human_pack
summary,,local_output_ignore,ignored,pass,/Volumes/WD_BLACK/澜心社剪辑/lanxinse--/outputs/local_visual_action_review_probe
summary,,git_status_entries_before,4,pass,pre-existing unrelated entries allowed
VAR001,live_cand_0006,contact_sheet,created_pil,pass,/Volumes/WD_BLACK/澜心社剪辑/lanxinse--/outputs/local_visual_action_review_probe/VAR001_live_cand_0006_pair_0006_rec_001/00_contact_sheet.jpg
VAR001,live_cand_0006,proxy_clip,created,pass,
VAR002,live_cand_0164,contact_sheet,created_pil,pass,/Volumes/WD_BLACK/澜心社剪辑/lanxinse--/outputs/local_visual_action_review_probe/VAR002_live_cand_0164_pair_0164_rec_004/00_contact_sheet.jpg
VAR002,live_cand_0164,proxy_clip,created,pass,
VAR003,live_cand_0063,contact_sheet,created_pil,pass,/Volumes/WD_BLACK/澜心社剪辑/lanxinse--/outputs/local_visual_action_review_probe/VAR003_live_cand_0063_pair_0063_rec_002/00_contact_sheet.jpg
VAR003,live_cand_0063,proxy_clip,created,pass,
VAR004,live_cand_0113,contact_sheet,created_pil,pass,/Volumes/WD_BLACK/澜心社剪辑/lanxinse--/outputs/local_visual_action_review_probe/VAR004_live_cand_0113_pair_0113_rec_003/00_contact_sheet.jpg
VAR004,live_cand_0113,proxy_clip,created,pass,
VAR005,live_cand_0023,contact_sheet,created_pil,pass,/Volumes/WD_BLACK/澜心社剪辑/lanxinse--/outputs/local_visual_action_review_probe/VAR005_live_cand_0023_pair_0023_rec_001/00_contact_sheet.jpg
VAR005,live_cand_0023,proxy_clip,created,pass,
VAR006,live_cand_0084,contact_sheet,created_pil,pass,/Volumes/WD_BLACK/澜心社剪辑/lanxinse--/outputs/local_visual_action_review_probe/VAR006_live_cand_0084_pair_0084_rec_002/00_contact_sheet.jpg
VAR006,live_cand_0084,proxy_clip,created,pass,
VAR007,live_cand_0081,contact_sheet,created_pil,pass,/Volumes/WD_BLACK/澜心社剪辑/lanxinse--/outputs/local_visual_action_review_probe/VAR007_live_cand_0081_pair_0081_rec_002/00_contact_sheet.jpg
VAR007,live_cand_0081,proxy_clip,created,pass,
VAR008,live_cand_0123,contact_sheet,created_pil,pass,/Volumes/WD_BLACK/澜心社剪辑/lanxinse--/outputs/local_visual_action_review_probe/VAR008_live_cand_0123_pair_0123_rec_003/00_contact_sheet.jpg
VAR008,live_cand_0123,proxy_clip,created,pass,
VAR009,live_cand_0066,contact_sheet,created_pil,pass,/Volumes/WD_BLACK/澜心社剪辑/lanxinse--/outputs/local_visual_action_review_probe/VAR009_live_cand_0066_pair_0066_rec_002/00_contact_sheet.jpg
VAR009,live_cand_0066,proxy_clip,created,pass,
VAR010,live_cand_0130,contact_sheet,created_pil,pass,/Volumes/WD_BLACK/澜心社剪辑/lanxinse--/outputs/local_visual_action_review_probe/VAR010_live_cand_0130_pair_0130_rec_003/00_contact_sheet.jpg
VAR010,live_cand_0130,proxy_clip,created,pass,
VAR011,live_cand_0051,contact_sheet,created_pil,pass,/Volumes/WD_BLACK/澜心社剪辑/lanxinse--/outputs/local_visual_action_review_probe/VAR011_live_cand_0051_pair_0051_rec_001/00_contact_sheet.jpg
VAR011,live_cand_0051,proxy_clip,created,pass,
VAR012,live_cand_0209,contact_sheet,created_pil,pass,/Volumes/WD_BLACK/澜心社剪辑/lanxinse--/outputs/local_visual_action_review_probe/VAR012_live_cand_0209_pair_0209_rec_004/00_contact_sheet.jpg
VAR012,live_cand_0209,proxy_clip,created,pass,
VAR013,live_cand_0134,contact_sheet,created_pil,pass,/Volumes/WD_BLACK/澜心社剪辑/lanxinse--/outputs/local_visual_action_review_probe/VAR013_live_cand_0134_pair_0134_rec_003/00_contact_sheet.jpg
VAR013,live_cand_0134,proxy_clip,created,pass,
VAR014,live_cand_0004,contact_sheet,created_pil,pass,/Volumes/WD_BLACK/澜心社剪辑/lanxinse--/outputs/local_visual_action_review_probe/VAR014_live_cand_0004_pair_0004_rec_001/00_contact_sheet.jpg
VAR014,live_cand_0004,proxy_clip,created,pass,
VAR015,live_cand_0185,contact_sheet,created_pil,pass,/Volumes/WD_BLACK/澜心社剪辑/lanxinse--/outputs/local_visual_action_review_probe/VAR015_live_cand_0185_pair_0185_rec_004/00_contact_sheet.jpg
VAR015,live_cand_0185,proxy_clip,created,pass,
VAR016,live_cand_0171,contact_sheet,created_pil,pass,/Volumes/WD_BLACK/澜心社剪辑/lanxinse--/outputs/local_visual_action_review_probe/VAR016_live_cand_0171_pair_0171_rec_004/00_contact_sheet.jpg
VAR016,live_cand_0171,proxy_clip,created,pass,
